gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PCBP1	-0.6636500889708614	8.8982479790719	-9.890296662113764	1.4213646526616162e-12	1.3962064983095056e-8	18.54579825724734
TSC22D4	-1.2338636572727086	6.037894883145904	-9.071537238813438	1.752276463142743e-11	8.606305848725582e-8	16.077447078804035
MAT2B	-0.8904542512182543	6.146204151478794	-8.519194334672589	9.977484596401232e-11	1.6529016584598428e-7	14.392199255157234
SFXN1	0.9430075378885112	7.102303046696407	8.465983548648799	1.181872935138907e-10	1.6529016584598428e-7	14.231160971795859
FAM115C	1.1914336467223094	6.067454060691263	8.454447733527925	1.2261207726680582e-10	1.6529016584598428e-7	14.17588789230561
DPY30	-1.111478275180719	4.767111004434021	-8.452314231916759	1.2344858416283118e-10	1.6529016584598428e-7	14.110961483664301
HSPA8	-0.6806626914625689	9.602047767845097	-8.416111191099303	1.385557622694789e-10	1.6529016584598428e-7	14.007915918385743
KRCC1	-1.267027812917406	4.355399918001916	-8.41414654477077	1.3942709958646226e-10	1.6529016584598428e-7	13.960248872815953
C11orf73	-0.9648975272083922	5.004217347255775	-8.388254024746098	1.514416667630926e-10	1.6529016584598428e-7	13.938369719303044
SUPV3L1	1.0434275364277745	5.696907148220527	8.31117636129733	1.937703394233341e-10	1.9034060441554107e-7	13.727758976504035
PBXIP1	-0.6606135892525895	7.4605940795048395	-8.13007040855454	3.4660041300791686e-10	3.0951416881606977e-7	13.17313102667834
LPXN	-0.9949417188172243	5.515454131035517	-7.976810420384178	5.683658166636936e-10	4.2946595516057403e-7	12.699120194554745
WDR1	-0.8188375434121102	6.9116698911926395	-7.922241442851623	6.781708707700729e-10	4.758337473981733e-7	12.524981696667902
PHF23	-1.4374060423672494	2.262085278128639	-7.991827589353372	5.414249800473887e-10	4.2946595516057403e-7	12.327614528255179
RNMT	0.7556734214001644	7.540823764309601	7.858001056222813	8.352119387185028e-10	5.469524582687902e-7	12.324656242680843
CRLF3	-0.7184128487419095	5.617091731201211	-7.832241845398587	9.080577261687164e-10	5.574906902597063e-7	12.247588463350649
SLC9A3R1	-1.323713198903163	6.573074079307161	-7.78006955933702	1.0758364045277062e-9	6.195200283537755e-7	12.076327559119873
RPA2	-1.0470048817689106	4.980779568817819	-7.763548972786866	1.1352296152263014e-9	6.195200283537755e-7	12.016061110010938
FAM133B	0.6107484535283136	6.701263754248748	7.673914319866864	1.5201246852544842e-9	7.466092391627398e-7	11.749767822235356
LRIF1	-1.119258765869891	3.6710768413653616	-7.684437726369917	1.4688515572651687e-9	7.466092391627398e-7	11.66873776084034
FLI1	-0.9676294294097127	6.605333418060528	-7.528654909745372	2.443229112933323e-9	1.1428495036354301e-6	11.278417967074219
LCK	-0.7719039266938701	7.877416239274061	-7.418193257976411	3.508747103270112e-9	1.4985401215401005e-6	10.884484854892412
PELI2	1.4540223402659085	4.174019384951867	7.418647857864445	3.5035181431259564e-9	1.4985401215401005e-6	10.879384958212363
ZNF267	0.7958305383965909	5.291121379935982	7.3745748803498525	4.048811265402067e-9	1.609186868453761e-6	10.799601411787833
XPO4	0.7429074121885852	5.72955050777671	7.368283367283448	4.133334179031784e-9	1.609186868453761e-6	10.784915734466896
RASSF7	-0.884807967682411	4.812908243895849	-7.3462973186483325	4.442899481083125e-9	1.609186868453761e-6	10.702867995835994
C1D	0.7102649347289596	5.946248847117606	7.315779072681002	4.911662975972358e-9	1.609186868453761e-6	10.6182661812314
LTV1	0.8980878366202116	4.827938445577194	7.318993015005097	4.8600378742903695e-9	1.609186868453761e-6	10.60728231670563
WDR6	-1.0159720996622195	4.61140226718745	-7.3156004619021084	4.914548106852574e-9	1.609186868453761e-6	10.598562843071857
ESYT1	-1.0844797215243505	5.481691562945749	-7.2841428668783434	5.4502332223727e-9	1.622352755859607e-6	10.518351258940884
CIR1	0.7499702016924754	6.38090383423284	7.284907260078063	5.436544556912706e-9	1.622352755859607e-6	10.51605153697059
AGFG2	-1.5088480696235735	2.9021128515153665	-7.330321901778609	4.6823788111729355e-9	1.609186868453761e-6	10.485824751000347
ANXA6	-1.1252609902978081	7.287027509452399	-7.286700144626521	5.404573337395729e-9	1.622352755859607e-6	10.478881609857314
ZNF644	0.6057336762954915	6.395859586818135	7.262414986488549	5.85417852267837e-9	1.6824563565176075e-6	10.445539757515801
TNFRSF1A	-1.2796203805010733	3.493748280248468	-7.255208385809019	5.9947034997573315e-9	1.6824563565176075e-6	10.34174664996234
AKTIP	-1.1970622722170106	3.823854512200242	-7.194020162325585	7.333193792718676e-9	2.000943406274321e-6	10.178873470330302
IL6R	-1.0850062547714652	5.2535749481343625	-7.171446239784761	7.899671200436469e-9	2.0507583534004115e-6	10.159901998131502
RNF187	-0.8270694491110699	5.548732601816212	-7.1669325893679865	8.018112941076872e-9	2.0507583534004115e-6	10.146068543933382
TRAF3IP3	-0.7871841665951083	7.300543715981123	-7.162279912654558	8.142072257214299e-9	2.0507583534004115e-6	10.079892015244411
ARID5A	1.3526487998869623	6.778915559528867	7.141206118165552	8.728111937052889e-9	2.143406088941763e-6	10.053632307723571
ETFDH	1.0133298117966496	4.275424389540354	7.113909649220201	9.550708677312208e-9	2.2882100326155566e-6	9.933195834306744
SNRPD1	0.6208249130347259	6.893647621194369	7.095158887224797	1.0160517611438369e-8	2.376351535646645e-6	9.894130810274586
IRF2	-1.016955045740895	5.07676635064856	-7.073794114525063	1.0903197244405092e-8	2.434138784813437e-6	9.849725628477273
CALHM2	-1.4632320377544166	3.31910523095208	-7.084033348625431	1.0540688313171612e-8	2.4079344488438315e-6	9.786799905660779
ANXA1	-0.7085730736021834	9.279780094879104	-7.035291087849441	1.2382159933816681e-8	2.7028879339973615e-6	9.587377199484077
VASP	-0.9085747267309348	5.8357254498422195	-6.981620137719287	1.4786251049185607e-8	3.025944667836463e-6	9.547802989956306
TACO1	1.0305919178561513	4.6002467953804995	6.985269165083284	1.4608872761841665e-8	3.025944667836463e-6	9.546231416532105
CSK	-0.9660845974009256	6.017416129805041	-6.9719444957787715	1.526712715431976e-8	3.0605916334057754e-6	9.513792978152921
ZBTB7B	-1.1859029341409677	3.146093940943848	-7.002335464856517	1.38072441545012e-8	2.948446941949245e-6	9.504105144961976
PDLIM2	-0.9519103393980437	5.417810975351309	-6.94934983857734	1.645215603161328e-8	3.1761050679007554e-6	9.452434280251405
CHTF8	-1.053504173425428	4.420455109130877	-6.948655339976481	1.649000900569465e-8	3.1761050679007554e-6	9.44116517149038
THUMPD2	0.9209871602578414	4.168416553725944	6.93458068768544	1.7276268160640726e-8	3.2635535027302666e-6	9.36908943222
RGS19	-1.0607889164137134	5.705903477941104	-6.9222086778336065	1.7998454466381287e-8	3.2740521893196925e-6	9.361519565368704
ST6GAL1	-1.2894626032617236	4.389841621032661	-6.922328259707014	1.7991331045725636e-8	3.2740521893196925e-6	9.359493882352583
ARFRP1	-0.89997329412492455	4.42034124598462	-6.861249667281862	2.2024749465686273e-8	3.933620254571568e-6	9.163481734481978
SLC25A36	0.6784828082780727	6.187631057366947	6.849691568261219	2.2884570585999477e-8	4.014198872612015e-6	9.128210330407029
TWISTNB	0.7879204759017568	5.365349380400431	6.834697557463902	2.4050407057077865e-8	4.144686816169752e-6	9.08988399873285
LIMS1	-0.8033558768859512	6.179575007871023	-6.822547897001802	2.5038681378238775e-8	4.240602882386888e-6	9.032657752733815
ARHGAP30	-0.8482531423470592	6.528454306917044	-6.803541999901181	2.6667055633509683e-8	4.414197808655145e-6	8.952034620385255
AIMP1	0.679650870040108	6.418952439743314	6.7762582022782825	2.9192255759032338e-8	4.468254918713544e-6	8.885466009867091
RNF19A	0.9410549423243175	7.338897918640775	6.772412412190045	2.9566992743192548e-8	4.468254918713544e-6	8.853410773726951
LACTB2	-1.1533426577928916	2.560557761983569	-6.800219754300172	2.6962421716309547e-8	4.414197808655145e-6	8.824434557383498
OAZ1	-0.7204578431355877	8.802573789720034	-6.79043741285203	2.7851332236371015e-8	4.468254918713544e-6	8.80149032875508
HIAT1	0.7973084495773897	6.453676345683227	6.725383442028436	3.455948873291373e-8	5.043943032728065e-6	8.723528308698706
CRIP1	-0.676413694015352	7.586356525426112	-6.742245601048685	3.2678941716589796e-8	4.863715825485782e-6	8.722460555802604
TBC1D15	0.9343736861607708	5.390530761036926	6.717884495352051	3.543032365450845e-8	5.043943032728065e-6	8.717605601870794
GFOD2	-1.3378013528833763	2.0979744633463797	-6.775754699399306	2.924104505398846e-8	4.468254918713544e-6	8.690474265256816
TMEM99	-1.220563662311057	2.1747523136542126	-6.780514332652903	2.878308806437296e-8	4.468254918713544e-6	8.680425925700469
PPP1R18	-0.9529776883420231	6.46488015675913	-6.719268100937239	3.526800895888414e-8	5.043943032728065e-6	8.67958808460989
ZC3H15	0.5200477522220499	7.371950182515702	6.712296965082511	3.6093472364771704e-8	5.064945414845035e-6	8.64489604999445
OSER1-AS1	-1.0198053424412974	3.300626216813778	-6.706277018355489	3.682188292090985e-8	5.094385294818275e-6	8.61885801349129
ARID5B	0.9185855435139878	7.588743911117671	6.701739415995764	3.738066126190692e-8	5.0998643829959945e-6	8.611133828843233
SNRPB2	0.5174224086812593	6.758713201134545	6.685593987241496	3.943875170863077e-8	5.306943260738084e-6	8.576767493180615
PRMT1	-0.6382148016392186	5.964857417278923	-6.677094718805368	4.056744817790103e-8	5.385054641236782e-6	8.569317766053029
EHD1	-1.0161811637193985	5.038683327707567	-6.6334119491815615	4.6900395865058854e-8	6.061876165558857e-6	8.448501708249834
APBB1IP	-0.6111804461174231	7.146662782247487	-6.650447979806261	4.432046505882956e-8	5.804799043638437e-6	8.433773224564199
HMGN4	-0.8189451171509319	5.734844238577508	-6.604686442324459	5.159617584258107e-8	6.506729111533282e-6	8.342573061098843
SLC9A8	0.7402287671544947	4.637958728220071	6.599031900176546	5.2574632929110845e-8	6.537223028641213e-6	8.33846189552236
M6PR	-0.9806884984460664	6.719092316890487	-6.604273594092113	5.166699284328576e-8	6.506729111533282e-6	8.299003305313411
DCTN2	-0.5388755858957373	5.628579218121717	-6.585723466568365	5.49515544094746e-8	6.747363987053362e-6	8.286623599300068
DCK	-0.6536603883221668	5.582536145519369	-6.527089745077798	6.677440078037846e-8	7.999084620312899e-6	8.09959741573191
WDR46	-1.1436200632986226	4.054707528263224	-6.519607796266121	6.845603043725809e-8	8.005280797442693e-6	8.080853932206285
CUL5	0.5082062137297374	6.096006023256464	6.520505563069316	6.825203035986754e-8	8.005280797442693e-6	8.071501148458527
TMEM43	-0.8479668948132693	4.736539766584837	-6.514219449971153	6.9693329300575e-8	8.054089102582921e-6	8.070854891512726
LAT	-0.7991329843425401	7.404010659352402	-6.527117568762536	6.676822506420943e-8	7.999084620312899e-6	8.01828432237874
RBM34	0.7372208885268856	5.174406193626375	6.488325944789148	7.595895534776176e-8	8.383649644731054e-6	7.987378851973856
SERINC3	-0.7084823849435669	5.6408066700101385	-6.4924464250716944	7.492538890982393e-8	8.383649644731054e-6	7.986430921733899
USP15	0.4922219976198674	7.746835547528705	6.500484912935499	7.29494201156467e-8	8.332350625534855e-6	7.953597249671402
PDCD6	-0.5635922946176279	6.1974254292793445	-6.4886507888337155	7.587695656543764e-8	8.383649644731054e-6	7.953019585776512
PCMT1	-0.6324165767240357	5.3936663070774	-6.471791709391765	8.025199925625597e-8	8.66280646916706e-6	7.926839875260903
RNF7	0.4874580114024347	7.101844205590428	6.481075830489786	7.781234492240358e-8	8.492785157475226e-6	7.9047042559495715
ACADM	-1.0308057892993965	4.255390628912012	-6.436127732507253	9.035766255292904e-8	9.543906658681956e-6	7.819048320818014
RNF5	-1.0714993636385053	4.537661492053969	-6.4310169502373915	9.190670333455891e-8	9.604250498461407e-6	7.806924008588355
HSD17B4	-1.3356917217809752	3.1860140062724915	-6.441870387843706	8.864827737806618e-8	9.465130746573306e-6	7.7914557115629215
ZNF430	0.6505989590086356	5.53475809472254	6.4217339171991	9.478866045734611e-8	9.608743287694211e-6	7.767872148898037
ODF3B	1.4495993882241045	3.965959674219637	6.424785397452698	9.383146728838891e-8	9.608743287694211e-6	7.7566264395325115
PSMC1	0.5472023486611324	5.93544225491809	6.421430843309171	9.488426131592572e-8	9.608743287694211e-6	7.755670743877799
CBLB	0.6158727478795107	6.299855271384955	6.403587316820355	1.0068631441205782e-7	9.990319863329738e-6	7.689673259196079
CCT7	-0.5045646277051565	6.50054546471682	-6.409618411561725	9.868652908496498e-8	9.8918140326695e-6	7.686260566742483
GLTPD1	-0.9666617716832446	3.5815871027105852	-6.397930705693867	1.0259878661609207e-7	1.0078278809298725e-5	7.666851345481048
DAXX	-0.8630619955372314	4.751323604264265	-6.374525071299357	1.1090646493840766e-7	1.0475328895095947e-5	7.626230976977957
CAT	-0.9710083712469411	4.8828384442773505	-6.367351566332421	1.1358504206392547e-7	1.0626151125656571e-5	7.6030672824093415
OSTF1	-0.716628127109062	6.691872086998521	-6.387302881735951	1.062909078858035e-7	1.0236231256492625e-5	7.602944764637946
EIF1B	0.6339715950716558	7.175587495319746	6.38141575706284	1.0839305027652811e-7	1.033732944530423e-5	7.581717820967763
UCP2	-1.2030748110268066	7.4369454044109675	-6.393283793585175	1.0419706528558757e-7	1.0133938339607195e-5	7.568057811325969
C18orf21	0.6385387640039362	4.7337852532131866	6.349152258753718	1.2067479250846742e-7	1.11829102529309e-5	7.547101153842243
ATG14	0.7534207089224756	5.144541567108282	6.329187879717182	1.28962609901542e-7	1.1683984337923713e-5	7.480370669833876
LBH	-0.9535596279553511	6.87299879582568	-6.344503556086874	1.225556965152284e-7	1.1251071092234472e-5	7.4554748811721705
ATF1	-0.8106398875177279	4.5031867997813055	-6.318276172157878	1.3373070479581216e-7	1.1834564983867232e-5	7.4491736844786844
KRR1	0.5455949175185193	6.342911464756497	6.324844779778876	1.308396902343081e-7	1.1683984337923713e-5	7.433873533266894
RNF145	0.7981467746755913	6.283192809024989	6.312522757067479	1.3631539870376696e-7	1.1955590727384846e-5	7.400579471895334
WDR43	0.6120097275064547	5.96140313497521	6.307267348891149	1.3872002506513448e-7	1.2058821293936424e-5	7.390857439698706
DDX24	0.5397177822936854	8.579619946977976	6.326588390801772	1.3008284183726758e-7	1.1683984337923713e-5	7.33119548842826
